Carimbo de data/hora;Sua idade;Você é estudante?;Você trabalha atualmente?;"Você prefere trabalhar;";Você entrou no seu emprego atual:;Você trabalhava quantas horas semanais antes da quarentena?;Você voltou a trabalhar presencialmente ainda em 2020?;Seu trabalho pode ser realizado normalmente no regime Home Office? Se não, porque?;Como você julga seu desempenho e/ou o desempenho da sua empresa durante o home office:;Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Tarefas diárias];Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Horas trabalhadas/dia];Você acha que o home office deveria ser mais frequente depois do término da quarentena?;você acha que o home office invadiu a sua privacidade dentro de casa?;"Nos conte um pouco mais, pode ser um texto ou até mesmo uma frase, porque você acha que o home office invadiu sua privacidade? (Responder apenas se você assinalou ""sim"" na questão anterior)"
11/17/2020 14:43:25;20;Sim;Não;Presencial;Presencial;menos de 40 horas;Não;pq estudo ;Pior;mais;mais;Sim, 1 vez por semana;Sim;
11/17/2020 15:01:44;19;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Não pois trabalho com RH de obras, precisando ter contato ;Pior;muito menos;muito mais;Sim, 2 vezes por semana;Sim;
11/17/2020 15:05:00;46;Não;Sim, parte presencial e parte home office;Home Office;Presencial;de 40 a 45 horas;Sim;Algumas burocracias ;Melhor;igual;igual;Sim, todos os dias;Não;
11/17/2020 15:10:03;25;Sim;Sim, parte presencial e parte home office;Home Office;Presencial;de 40 a 45 horas;Sim;Não, por conta de ter visitas presenciais;Melhor;mais;mais;Sim, 4 vez por semana;Não;
11/17/2020 15:18:04;23;Sim;Sim, no regime home office;Home Office;Presencial;de 40 a 45 horas;Não;Sim;Igual quando presencial;igual;mais;Sim, 3 vez por semana;Não;
11/17/2020 15:19:04;20;Sim;Sim, no regime home office;Presencial;Presencial;de 40 a 45 horas;Não;I can partially proceed with my obligations via home-office, however it is much better to work in person at the office to have an easier team working.;Igual quando presencial;igual;igual;Sim, 2 vezes por semana;Sim;I started to mix my professional and personal tasks, since i am working from home. 
11/17/2020 15:22:28;23;Sim;Sim, no regime home office;Home Office;Presencial;de 40 a 45 horas;Não;Sim;Igual quando presencial;igual;mais;Sim, 3 vez por semana;Não;
11/17/2020 15:23:38;24;Não;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Não, porque sou engenheiro é preciso acompanhar a obra ;Pior;mais;mais;Não;Sim;"O hoje office invadida privacidade pois geralmente acaba-se passando do horário padrão.
Tirando que com a cobrança da empresa faz com que a gente se cobre mais e acabe excedendo ainda mais os horários trabalhando até tarde ou até nos finais de semana."
11/17/2020 15:24:53;24;Sim;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Não, devido o servidor da empresa;Pior;igual;menos;Sim, 1 vez por semana;Sim;
11/17/2020 15:27:09;23;Sim;Sim, parte presencial e parte home office;Home Office;Presencial;de 45 a 50 horas;Sim;Sim;Igual quando presencial;mais;mais;Sim, 3 vez por semana;Não;
11/17/2020 15:28:51;25;Sim;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Sim!;Igual quando presencial;mais;igual;Sim, 1 vez por semana;Não;
11/17/2020 15:33:04;29;Não;Sim, parte presencial e parte home office;Home Office;Presencial;de 45 a 50 horas;Não;Sim;Melhor;mais;mais;Sim, 3 vez por semana;Sim;
11/17/2020 15:47:05;25;Sim;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Pois tomo conta do financeiro e produção. Sendo assim tenho que acompanhar de perto.;Pior;igual;igual;Não;Não;
11/17/2020 15:51:41;47;Não;Sim, parte presencial e parte home office;Presencial;Presencial;de 40 a 45 horas;Não;Parcialmente devido a necessidade de processos de auditoria nas operações. ;Melhor;igual;menos;Sim, 3 vez por semana;Não;
11/17/2020 15:59:28;52;Não;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Faço serviços externos;Igual quando presencial;igual;igual;Não;Não;
11/17/2020 16:05:21;32;Não;Sim, no regime home office;Home Office;Home Office;de 40 a 45 horas;Não;Sim;Melhor;igual;menos;Sim, todos os dias;Não;
11/17/2020 16:08:46;30;Não;Sim, no regime home office;Home Office;Presencial;mais de 55 horas;Não;Sim, mas o número de reuniões cresceu muito ;Melhor;mais;mais;Sim, 3 vez por semana;Sim;Porque os horários de lazer e trabalho se juntaram. 
